Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp,Wind Level
55129,Winter,False,13.37,7.65,8,24,,0.0,2.0,208.0,61.152,16.11,969.76,25.0,2.0
55129,Winter,True,17.27,3.72,7,11,0.0,0.0,2.0,148.0,49.0,5.86,1075.5,24.0,1.0
55129,Winter,True,17.65,26.83,7,20,0.0,0.0,2.0,267.0,47.432,18.22,1007.38,24.0,1.0
55129,Winter,True,14.52,1.52,10,14,0.0,0.0,2.0,255.0,39.984,6.69,1191.67,24.0,1.0
55129,Winter,True,14.8,18.03,8,20,0.0,0.0,2.0,248.0,39.2,87.02,1585.96,24.0,1.0
55129,Winter,True,14.97,28.2,8,23,0.0,0.0,2.0,59.0,35.28,42.56,1308.78,24.0,1.0
55129,Winter,True,9.08,10.05,7,11,0.0,1.0,2.0,204.0,33.712,7.52,995.41,24.0,2.0
55129,Winter,True,10.9,0.43,7,22,0.0,0.0,2.0,330.0,28.616,16.2,1767.0,24.0,2.0
55129,Winter,True,20.95,7.45,7,24,0.0,-1.0,2.0,242.0,19.208,31.85,1325.68,24.0,1.0
55129,Winter,True,9.87,2.85,6,9,0.0,0.0,2.0,331.0,17.64,2.87,939.86,24.0,1.0
55129,Winter,True,9.95,7.83,6,10,0.0,0.0,2.0,332.0,17.248,13.92,1176.16,24.0,1.0
55129,Winter,True,13.05,0.27,6,22,0.0,2.0,2.0,0.0,94.864,0.0,816.0,24.0,3.0
55129,Winter,True,20.75,7.57,6,20,0.0,-1.0,2.0,64.0,91.336,13.62,1106.35,24.0,2.0
55129,Winter,True,19.42,0.63,8,11,0.0,0.0,2.0,121.0,85.848,0.0,977.5,24.0,2.0
55129,Winter,False,10.0,7.05,5,6,0.0,-1.0,2.0,150.0,80.752,0.0,884.1,24.0,1.0
55129,Winter,False,14.72,4.37,5,13,0.0,1.0,2.0,150.0,79.576,4.35,1017.59,24.0,2.0
55129,Winter,True,9.43,3.27,8,8,0.0,0.0,2.0,326.0,78.792,2.79,1016.67,24.0,2.0
55129,Winter,True,9.7,19.25,8,14,0.0,0.0,2.0,158.0,76.832,19.97,1052.15,24.0,2.0
55129,Winter,True,18.78,1.45,3,16,0.0,0.0,2.0,197.0,51.352,2.52,1212.8,24.0,2.0
55129,Winter,True,18.93,10.63,2,18,1.0,0.0,2.0,48.0,50.176,16.82,1236.19,25.0,2.0
55129,Winter,True,21.8,0.6,1,10,0.0,-1.0,2.0,0.0,48.216,0.0,1055.0,25.0,1.0
55129,Winter,False,8.67,1.75,2,3,0.0,1.0,2.0,14.0,45.472,4.2,966.57,25.0,2.0
55129,Winter,False,8.72,4.77,1,5,0.0,0.0,2.0,249.0,44.688,4.54,909.4,25.0,2.0
55129,Winter,False,20.47,3.8,1,18,0.0,0.0,2.0,293.0,40.768,2.68,922.55,25.0,2.0
55129,Winter,False,20.52,6.65,1,19,0.0,-1.0,2.0,159.0,40.768,7.62,1022.61,25.0,1.0
55129,Winter,False,9.27,0.38,5,4,0.0,0.0,2.0,252.0,39.984,0.0,1007.0,25.0,1.0
55129,Winter,False,12.43,0.13,12,15,0.0,0.0,2.0,265.0,35.28,0.0,1229.0,25.0,1.0
55129,Winter,False,12.75,19.08,6,21,0.0,0.0,2.0,249.0,35.28,80.92,1473.48,25.0,1.0
55129,Winter,False,22.17,0.95,6,11,0.0,0.0,2.0,40.0,29.792,0.05,1126.5,25.0,1.0
55129,Winter,True,19.22,1.08,4,7,0.0,0.0,2.0,341.0,25.48,9.9,1136.25,25.0,1.0
55129,Winter,True,22.18,1.37,10,13,0.0,2.0,2.0,104.0,19.208,8.0,1117.0,25.0,3.0
55129,Winter,True,18.68,23.2,6,26,0.0,-1.0,2.0,80.0,96.824,57.04,1421.83,25.0,1.0
55129,Winter,True,8.6,7.75,6,9,0.0,1.0,2.0,342.0,96.04,5.04,1008.05,25.0,2.0
55129,Winter,True,12.45,15.68,8,24,0.0,0.0,2.0,129.0,92.904,16.46,1089.79,25.0,2.0
55129,Winter,True,17.1,1.78,8,15,0.0,0.0,2.0,165.0,91.336,9.85,1085.5,25.0,2.0
55129,Winter,True,16.48,26.62,11,26,0.0,-1.0,2.0,15.0,77.616,47.52,1296.29,25.0,1.0
55129,Winter,True,14.5,6.9,4,8,0.0,1.0,2.0,338.0,72.52,1.54,881.82,25.0,2.0
55129,Winter,True,14.75,21.63,5,17,0.0,0.0,2.0,234.0,70.168,56.29,1413.44,25.0,2.0
55129,Winter,True,14.85,27.8,5,20,0.0,-1.0,2.0,222.0,68.992,62.28,1468.0,25.0,1.0
55129,Winter,True,12.78,1.57,5,10,0.0,1.0,2.0,74.0,63.504,19.18,1518.25,25.0,2.0
55129,Winter,True,8.28,0.18,7,7,0.0,0.0,2.0,159.0,58.408,0.0,843.0,25.0,2.0
55129,Winter,True,8.43,9.63,7,12,0.0,0.0,2.0,70.0,57.232,13.15,1071.08,25.0,2.0
55129,Winter,True,8.52,14.2,7,14,0.0,0.0,2.0,54.0,56.84,14.09,1058.42,25.0,2.0
55129,Winter,True,8.6,19.67,7,17,0.0,0.0,2.0,58.0,56.056,11.48,983.28,25.0,2.0
55129,Winter,True,11.5,0.08,7,15,0.0,0.0,2.0,199.0,54.488,0.0,875.0,25.0,2.0
55129,Winter,False,8.73,0.02,8,9,0.0,0.0,2.0,171.0,21.952,0.0,900.0,25.0,2.0
55129,Winter,False,14.92,6.75,7,27,0.0,-1.0,2.0,91.0,11.368,32.68,1324.36,25.0,1.0
55129,Winter,True,17.03,3.02,8,12,0.0,0.0,2.0,255.0,59.976,31.33,1382.71,25.0,2.0
55129,Winter,True,10.43,0.12,0,13,0.0,0.0,2.0,329.0,53.704,0.0,842.0,25.0,1.0
55129,Winter,True,11.42,25.22,3,17,0.0,0.0,2.0,29.0,40.768,23.51,1047.71,25.0,2.0
55129,Winter,True,11.58,34.45,3,20,0.0,-1.0,2.0,258.0,40.376,5.84,841.56,25.0,1.0
55129,Winter,True,7.3,24.08,5,15,0.0,0.0,2.0,235.0,85.848,61.41,1458.66,25.0,2.0
55129,Winter,True,13.07,15.1,12,31,0.0,-1.0,2.0,156.0,77.616,37.76,1381.5,25.0,1.0
55129,Winter,True,13.55,43.95,14,32,0.0,0.0,2.0,73.0,73.696,64.63,1406.13,25.0,1.0
55129,Winter,True,8.75,0.05,8,6,0.0,0.0,2.0,154.0,65.464,0.0,1009.0,25.0,1.0
55129,Winter,True,9.15,23.25,8,14,0.0,0.0,2.0,62.0,62.72,33.93,1353.03,25.0,1.0
55129,Winter,True,9.42,1.25,9,12,0.0,1.0,2.0,161.0,50.568,10.07,1298.0,25.0,2.0
55129,Winter,True,21.05,0.53,7,12,0.0,0.0,2.0,355.0,36.848,0.0,1061.5,25.0,2.0
55129,Winter,True,17.98,0.13,5,8,0.0,0.0,2.0,189.0,14.504,0.0,1005.0,25.0,2.0
55129,Winter,True,8.02,0.72,6,6,0.0,0.0,2.0,304.0,68.208,0.0,1006.5,25.0,2.0
55129,Winter,True,8.17,9.6,5,8,0.0,0.0,2.0,39.0,67.424,2.96,889.84,25.0,2.0
55129,Winter,True,14.33,21.92,5,15,0.0,0.0,2.0,341.0,58.016,65.54,1460.67,25.0,2.0
55129,Winter,True,17.08,4.4,6,11,0.0,0.0,2.0,162.0,44.688,8.17,1067.62,25.0,2.0
55129,Winter,True,17.48,27.87,5,19,0.0,0.0,2.0,25.0,43.12,47.46,1350.72,25.0,2.0
55129,Winter,True,7.87,29.2,4,17,0.0,0.0,2.0,242.0,39.592,48.5,1422.12,25.0,2.0
55129,Winter,True,12.68,23.2,9,29,0.0,0.0,2.0,151.0,22.736,85.49,1577.5,25.0,1.0
55129,Winter,True,14.4,35.13,9,26,0.0,0.0,2.0,272.0,97.216,40.76,1304.9,25.0,1.0
55129,Winter,True,7.58,32.58,8,16,0.0,0.0,2.0,230.0,78.4,42.6,1392.06,25.0,1.0
55129,Winter,True,13.05,23.93,15,32,0.0,0.0,2.0,202.0,67.816,86.09,1728.66,25.0,1.0
55129,Winter,True,8.43,0.23,8,8,0.0,1.0,2.0,187.0,56.84,0.0,902.0,25.0,2.0
55129,Winter,True,11.58,21.07,15,27,0.0,-1.0,2.0,292.0,44.296,63.84,1438.73,25.0,1.0
55129,Winter,True,8.5,0.48,6,5,0.0,0.0,2.0,42.0,38.024,0.0,1001.0,25.0,1.0
55129,Winter,True,10.02,1.68,7,17,0.0,1.0,2.0,273.0,34.496,1.85,912.0,25.0,2.0
55129,Winter,True,14.45,23.47,12,30,0.0,0.0,2.0,36.0,25.872,7.55,936.27,25.0,2.0
55129,Winter,False,14.53,2.68,12,14,0.0,0.0,2.0,337.0,20.384,2.03,895.17,25.0,2.0
55129,Winter,True,14.28,3.0,14,30,0.0,0.0,2.0,168.0,64.68,13.41,1064.14,25.0,2.0
55129,Winter,True,14.48,15.15,16,31,-4.0,0.0,2.0,13.0,63.504,41.19,1332.08,21.0,2.0
55129,Winter,True,14.85,37.32,16,31,0.0,0.0,2.0,236.0,61.544,22.3,1256.17,21.0,2.0
55129,Winter,False,17.6,7.12,12,24,0.0,0.0,2.0,159.0,39.2,7.67,938.0,25.0,1.0
55129,Winter,True,8.93,0.15,8,7,0.0,0.0,2.0,146.0,30.184,0.0,1001.0,25.0,1.0
55129,Winter,True,10.43,89.8,8,30,-3.0,0.0,2.0,226.0,24.696,18.0,1201.5,22.0,1.0
55129,Winter,True,14.0,2.55,13,37,0.0,2.0,2.0,293.0,17.248,0.87,987.33,22.0,3.0
55129,Winter,True,14.92,57.55,15,28,3.0,0.0,2.0,212.0,94.472,20.36,1320.5,25.0,3.0
55129,Winter,True,8.37,15.62,8,11,0.0,0.0,2.0,128.0,81.536,8.27,899.85,25.0,3.0
55129,Spring,True,11.07,61.87,13,32,0.0,0.0,2.0,268.0,38.416,96.55,1740.15,25.0,3.0
55129,Spring,True,12.33,22.23,9,23,0.0,-1.0,2.0,270.0,97.216,21.6,1162.67,25.0,2.0
55129,Spring,True,11.62,9.38,8,14,0.0,0.0,2.0,200.0,88.592,26.82,1439.2,25.0,2.0
55129,Spring,True,8.47,5.7,10,13,0.0,0.0,2.0,35.0,27.832,4.3,1069.29,25.0,1.0
55129,Spring,True,10.33,118.2,10,29,0.0,0.0,2.0,236.0,13.72,99.42,1796.33,25.0,1.0
55129,Spring,True,10.43,124.55,9,29,0.0,1.0,2.0,206.0,12.152,92.51,1735.1,25.0,2.0
55129,Spring,True,15.65,15.87,10,27,0.0,1.0,2.0,0.0,73.304,21.01,1129.47,25.0,3.0
55129,Spring,True,7.07,17.38,8,14,0.0,-1.0,2.0,236.0,71.344,23.15,1067.24,25.0,2.0
55129,Spring,True,7.45,40.07,8,22,0.0,-1.0,2.0,312.0,68.992,15.55,1067.89,25.0,1.0
55129,Spring,True,13.82,20.85,9,29,0.0,0.0,2.0,92.0,59.976,37.4,1421.59,25.0,1.0
55129,Spring,True,11.75,9.82,21,28,0.0,0.0,2.0,187.0,25.48,14.92,1183.52,25.0,1.0
55129,Spring,True,8.27,22.72,13,18,0.0,0.0,2.0,63.0,81.144,27.43,1206.83,25.0,1.0
55129,Spring,True,13.88,35.35,14,25,0.0,0.0,2.0,345.0,75.656,38.38,1247.63,25.0,1.0
55129,Spring,False,11.48,4.75,12,15,0.0,0.0,2.0,249.0,65.464,15.64,1336.09,25.0,1.0
55129,Spring,True,9.42,7.57,14,18,0.0,0.0,2.0,198.0,31.752,13.84,1130.18,25.0,1.0
55129,Spring,True,12.7,5.45,21,38,-5.0,1.0,2.0,160.0,90.16,14.42,1170.29,20.0,2.0
55129,Spring,True,13.33,44.12,24,31,0.0,0.0,2.0,152.0,88.592,35.32,1276.12,20.0,2.0
55129,Spring,True,21.47,0.4,25,24,0.0,2.0,2.0,273.0,85.456,0.0,902.0,20.0,4.0
55129,Spring,False,11.42,0.52,26,27,0.0,-2.0,2.0,283.0,79.576,0.0,1085.5,20.0,2.0
55129,Spring,False,12.05,38.32,27,26,0.0,0.0,2.0,251.0,76.832,46.27,1413.66,20.0,2.0
55129,Spring,False,12.08,40.85,27,26,0.0,0.0,2.0,249.0,76.832,42.59,1360.52,20.0,2.0
55129,Spring,False,14.13,0.2,41,31,0.0,0.0,2.0,145.0,76.832,0.0,820.0,20.0,2.0
55129,Spring,False,14.92,47.03,31,28,0.0,0.0,2.0,253.0,73.696,17.62,1258.0,20.0,2.0
55129,Spring,False,10.55,28.08,22,29,0.0,0.0,2.0,48.0,63.896,42.51,1415.28,20.0,2.0
55129,Spring,False,12.3,20.27,24,28,0.0,-1.0,2.0,70.0,61.544,43.53,1353.83,20.0,1.0
