Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp,Wind Level
60557,Summer,True,16.1,13.22,33,38,0.0,-2.0,2.0,35.0,48.608,17.32,1398.65,16.0,2.0
60557,Summer,True,9.62,3.4,34,37,0.0,2.0,2.0,1.0,46.256,1.11,983.88,16.0,4.0
60557,Summer,True,13.9,0.82,34,45,0.0,1.0,2.0,344.0,38.808,5.28,1385.5,16.0,5.0
60557,Summer,True,14.9,11.1,34,33,0.0,0.0,2.0,169.0,32.536,31.4,1257.05,16.0,5.0
60557,Summer,True,15.92,15.75,34,34,0.0,-2.0,2.0,279.0,29.4,39.57,1369.63,16.0,3.0
60557,Summer,True,16.43,1.98,34,36,0.0,2.0,2.0,100.0,29.008,25.18,1352.25,16.0,5.0
60557,Summer,False,15.3,23.2,35,33,2.0,-2.0,2.0,76.0,18.032,10.22,1206.38,17.0,3.0
60557,Summer,False,12.53,1.93,29,36,0.0,-1.0,2.0,182.0,7.448,0.0,936.25,17.0,2.0
60557,Summer,False,12.6,6.08,29,35,0.0,2.0,2.0,151.0,7.448,24.08,1360.39,17.0,4.0
60557,Summer,False,15.1,2.03,37,43,0.0,1.0,2.0,69.0,5.488,31.01,1163.75,16.0,5.0
60557,Summer,False,15.42,21.35,34,38,0.0,-1.0,2.0,180.0,3.528,0.97,948.58,16.0,4.0
60557,Summer,False,15.52,27.43,34,37,0.0,3.0,2.0,180.0,3.528,0.61,979.26,16.0,7.0
60557,Summer,False,15.65,35.6,34,34,0.0,-1.0,2.0,180.0,3.528,0.0,941.45,16.0,6.0
60557,Summer,False,17.22,12.43,31,37,0.0,0.0,2.0,214.0,36.456,37.89,1328.5,16.0,6.0
60557,Summer,True,14.43,8.22,31,37,0.0,-3.0,2.0,98.0,21.56,54.67,2155.3,16.0,3.0
60557,Summer,True,14.58,17.3,31,35,0.0,0.0,2.0,98.0,19.992,50.46,1586.67,16.0,3.0
60557,Summer,True,14.65,21.42,31,34,0.0,0.0,2.0,278.0,19.6,47.95,1609.33,16.0,3.0
60557,Summer,True,12.13,13.25,31,35,0.0,-2.0,2.0,145.0,9.8,42.77,1488.65,16.0,1.0
60557,Summer,True,12.23,19.48,29,34,0.0,6.0,2.0,34.0,9.016,40.8,1455.89,16.0,7.0
60557,Summer,True,14.97,13.73,34,36,0.0,-1.0,2.0,64.0,75.264,22.71,1253.52,16.0,6.0
60557,Summer,True,10.63,34.0,23,27,4.0,0.0,2.0,180.0,55.272,53.23,2332.33,23.0,6.0
60557,Summer,True,16.33,21.85,28,31,0.0,-4.0,2.0,263.0,47.824,19.21,1278.9,23.0,2.0
60557,Summer,True,10.57,18.38,29,26,-4.0,1.0,2.0,2.0,35.672,30.33,1361.94,19.0,2.0
60557,Summer,True,13.22,49.65,29,30,0.0,0.0,2.0,75.0,27.832,30.78,1429.14,19.0,2.0
60557,Summer,True,15.48,0.03,32,43,0.0,5.0,2.0,214.0,22.736,0.0,905.0,19.0,7.0
60557,Summer,True,15.6,6.37,32,37,-1.0,0.0,2.0,215.0,22.344,40.16,1321.47,18.0,7.0
60557,Summer,True,15.68,11.62,31,35,0.0,-4.0,2.0,35.0,21.56,51.41,1494.04,18.0,3.0
60557,Summer,True,15.72,13.82,31,35,0.0,1.0,2.0,324.0,20.776,56.14,1568.31,18.0,4.0
60557,Summer,True,16.15,40.02,31,30,0.0,2.0,2.0,42.0,18.032,38.08,1312.11,18.0,6.0
60557,Summer,True,16.73,1.05,31,31,0.0,-3.0,2.0,9.0,17.248,4.77,982.33,18.0,3.0
60557,Summer,True,9.68,8.15,26,33,0.0,0.0,2.0,263.0,84.28,14.54,1194.43,18.0,3.0
60557,Summer,True,10.03,29.08,28,29,0.0,-1.0,2.0,117.0,78.008,67.91,1746.25,18.0,2.0
60557,Summer,True,10.48,56.22,28,28,0.0,0.0,2.0,102.0,74.872,81.45,1698.97,18.0,2.0
60557,Summer,True,11.75,9.45,30,30,0.0,2.0,2.0,181.0,70.952,0.5,951.33,18.0,4.0
60557,Summer,True,16.07,27.28,32,28,0.0,-1.0,2.0,267.0,52.528,26.5,1374.59,18.0,3.0
60557,Summer,False,11.65,18.25,32,36,1.0,1.0,2.0,292.0,49.392,59.35,1536.63,19.0,4.0
60557,Summer,False,12.47,66.7,33,28,1.0,-2.0,2.0,313.0,39.592,72.89,1647.38,20.0,2.0
60557,Summer,False,15.58,16.97,33,29,0.0,1.0,2.0,56.0,29.792,37.51,1326.62,20.0,3.0
60557,Summer,False,15.62,19.28,33,29,0.0,-2.0,2.0,326.0,29.792,25.63,1285.41,20.0,1.0
60557,Summer,False,15.68,22.47,33,29,3.0,0.0,2.0,108.0,29.792,30.03,1335.93,23.0,1.0
60557,Summer,False,15.97,39.68,33,29,0.0,-1.0,2.0,265.0,29.4,37.23,1330.25,23.0,1.0
60557,Summer,False,17.1,13.38,31,31,-2.0,0.0,2.0,263.0,25.48,31.93,1440.21,21.0,1.0
60557,Summer,False,19.75,3.93,31,33,0.0,0.0,2.0,167.0,24.304,6.63,1331.0,21.0,1.0
60557,Summer,False,21.02,16.45,28,29,0.0,1.0,2.0,269.0,19.6,28.84,1380.4,21.0,3.0
60557,Summer,False,11.95,4.02,27,36,0.0,1.0,2.0,132.0,7.84,9.36,1194.5,21.0,4.0
60557,Summer,False,12.27,22.97,27,33,0.0,-1.0,2.0,306.0,73.696,0.18,948.54,21.0,3.0
60557,Summer,False,16.8,2.52,25,32,0.0,0.0,2.0,268.0,57.624,0.0,795.82,21.0,1.0
60557,Summer,False,16.92,9.28,25,32,0.0,2.0,0.0,268.0,57.624,0.0,730.85,21.0,3.0
60557,Summer,True,8.32,0.45,25,25,-3.0,3.0,2.0,203.0,49.784,1.9,1175.0,18.0,6.0
