Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Weather - Type,Weather - Temp,Weather - Wind Speed,Weather - Humidity,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp Class,Left Temp,Wind Level,Wind Pattern
60557,Summer,True,14.68,11.17,34,38,0.0,-3.0,,,,,2.0,168.0,51.744,37.86,1381.61,Aggressive Cooling,,4.0,facefoot
60557,Summer,True,16.1,13.22,33,38,0.0,-2.0,,,,,2.0,35.0,48.608,17.32,1398.65,Aggressive Cooling,,2.0,facefoot
60557,Summer,True,9.62,3.4,34,37,0.0,2.0,,,,,2.0,1.0,46.256,1.11,983.88,Aggressive Cooling,,4.0,facefoot
60557,Summer,True,13.9,0.82,34,45,0.0,1.0,,,,,2.0,344.0,38.808,5.28,1385.5,Aggressive Cooling,,5.0,face
60557,Summer,True,14.9,11.1,34,33,0.0,0.0,,,,,2.0,169.0,32.536,31.4,1257.05,Aggressive Cooling,,5.0,face
60557,Summer,True,15.92,15.75,34,34,0.0,-2.0,,,,,2.0,279.0,29.4,39.57,1369.63,Aggressive Cooling,,3.0,face
60557,Summer,True,16.43,1.98,34,36,0.0,2.0,,,,,2.0,100.0,29.008,25.18,1352.25,Aggressive Cooling,,5.0,face
60557,Summer,False,15.3,23.2,35,33,2.0,-2.0,,,,,2.0,76.0,18.032,10.22,1206.38,Conventional,17.0,3.0,face
60557,Summer,False,12.53,1.93,29,36,0.0,-1.0,,,,,2.0,182.0,7.448,0.0,936.25,Conventional,17.0,2.0,facefoot
60557,Summer,False,12.6,6.08,29,35,0.0,2.0,,,,,2.0,151.0,7.448,24.08,1360.39,Conventional,17.0,4.0,facefoot
60557,Summer,False,12.77,16.62,30,32,-2.0,0.0,,,,,2.0,176.0,5.488,40.66,1650.75,Aggressive Cooling,,4.0,foot
60557,Summer,False,15.1,2.03,37,43,0.0,1.0,,,,,2.0,69.0,5.488,31.01,1163.75,Aggressive Cooling,,5.0,foot
60557,Summer,False,15.42,21.35,34,38,0.0,-1.0,,,,,2.0,180.0,3.528,0.97,948.58,Aggressive Cooling,,4.0,foot
60557,Summer,False,15.52,27.43,34,37,0.0,3.0,,,,,2.0,180.0,3.528,0.61,979.26,Aggressive Cooling,,7.0,foot
60557,Summer,False,15.65,35.6,34,34,0.0,-1.0,,,,,2.0,180.0,3.528,0.0,941.45,Aggressive Cooling,,6.0,foot
60557,Summer,False,17.22,12.43,31,37,0.0,0.0,,,,,2.0,214.0,36.456,37.89,1328.5,Aggressive Cooling,,6.0,foot
