Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Left Temp,Wind Level
55087,Summer,False,8.73,2.73,31,34,-1.0,1.0,2.0,350.0,53.312,8.6,1086.43,24.0,2.0
55087,Summer,False,11.88,2.23,31,38,-3.0,1.0,2.0,96.0,34.888,0.0,871.25,22.0,2.0
55087,Summer,False,10.05,55.02,26,32,2.0,-1.0,2.0,326.0,96.04,24.62,1100.93,24.0,1.0
55087,Summer,False,11.95,6.97,26,29,2.0,0.0,2.0,268.0,80.36,10.01,1094.21,25.0,1.0
55087,Summer,True,8.55,92.92,25,31,0.0,0.0,2.0,344.0,73.304,10.65,1106.58,25.0,1.0
55087,Summer,True,15.33,35.8,22,28,0.0,0.0,2.0,158.0,50.96,28.88,1212.7,25.0,1.0
55087,Summer,True,15.38,38.37,22,28,0.0,1.0,2.0,159.0,50.568,32.17,1369.27,25.0,2.0
55087,Summer,True,16.47,104.17,23,32,0.0,0.0,2.0,9.0,43.512,45.22,1373.37,25.0,2.0
55087,Summer,False,12.17,12.12,27,31,0.0,-1.0,2.0,116.0,82.32,61.74,1708.76,25.0,1.0
55087,Summer,False,12.38,24.53,27,33,0.0,0.0,2.0,102.0,78.792,95.77,1959.28,22.0,2.0
55087,Summer,False,12.68,43.18,28,34,0.0,0.0,2.0,153.0,75.264,96.31,1997.95,22.0,2.0
55087,Summer,False,12.78,48.58,27,34,-3.0,0.0,2.0,144.0,75.264,43.89,1536.79,20.0,2.0
55087,Summer,False,13.58,96.92,27,36,0.0,0.0,2.0,163.0,70.168,48.35,1446.63,20.0,2.0
55087,Fall,True,6.82,6.3,22,25,5.0,0.0,2.0,331.0,71.344,18.45,1193.47,25.0,2.0
55087,Fall,True,18.65,106.15,22,31,-1.0,0.0,2.0,158.0,55.272,9.47,1021.87,24.0,2.0
55087,Fall,True,19.07,130.87,22,32,-9.0,0.0,2.0,158.0,53.704,23.54,1259.81,16.0,2.0
55087,Fall,True,19.12,133.8,22,32,0.0,0.0,2.0,156.0,53.312,26.79,1353.96,16.0,2.0
55087,Fall,False,9.28,146.1,28,36,0.0,-1.0,2.0,320.0,87.024,29.64,1480.11,16.0,1.0
55087,Fall,False,9.85,181.0,27,37,9.0,1.0,2.0,289.0,83.104,78.5,1638.6,24.0,2.0
55087,Fall,True,13.92,27.75,27,33,0.0,0.0,2.0,168.0,55.272,20.0,1244.86,24.0,2.0
55087,Fall,True,14.87,84.78,27,36,-2.0,1.0,2.0,157.0,47.04,39.26,1217.75,22.0,3.0
55087,Fall,True,13.77,0.05,22,36,-2.0,0.0,2.0,11.0,29.792,0.0,796.0,20.0,3.0
55087,Fall,True,13.83,4.22,22,36,0.0,0.0,2.0,10.0,29.792,1.8,903.67,20.0,3.0
55087,Fall,True,15.42,23.18,26,29,0.0,0.0,2.0,125.0,29.008,3.3,909.74,20.0,3.0
55087,Fall,True,17.37,5.28,20,25,0.0,-2.0,2.0,284.0,72.128,28.64,1427.0,20.0,1.0
55087,Fall,True,17.42,8.95,20,25,2.0,1.0,2.0,289.0,72.128,24.84,1344.38,22.0,2.0
55087,Fall,True,19.9,0.22,26,24,0.0,0.0,2.0,198.0,70.56,0.0,807.0,22.0,2.0
55087,Fall,True,6.8,0.03,21,22,0.0,0.0,2.0,10.0,64.288,0.0,0.0,22.0,1.0
55087,Fall,True,7.43,37.98,19,26,0.0,0.0,2.0,273.0,59.192,78.41,1663.08,22.0,1.0
55087,Fall,True,7.55,44.93,19,26,0.0,0.0,2.0,337.0,58.8,77.94,1749.37,22.0,1.0
55087,Fall,True,20.08,67.85,21,27,0.0,0.0,2.0,100.0,52.136,6.3,1160.4,22.0,2.0
55087,Fall,False,8.72,16.43,21,25,2.0,0.0,2.0,88.0,50.176,27.96,1269.74,24.0,1.0
55087,Fall,False,11.87,6.17,23,27,0.0,0.0,2.0,160.0,47.04,5.98,1159.05,24.0,1.0
55087,Fall,False,15.52,3.97,30,32,0.0,0.0,2.0,154.0,39.984,5.02,956.7,22.0,1.0
55087,Fall,False,15.62,10.17,27,32,0.0,0.0,2.0,155.0,39.2,9.97,1028.35,22.0,1.0
55087,Fall,False,16.93,6.83,21,26,0.0,0.0,2.0,232.0,37.24,14.78,1285.06,22.0,1.0
55087,Fall,True,7.33,34.7,18,24,0.0,0.0,2.0,346.0,33.32,46.61,1430.79,22.0,1.0
55087,Fall,False,17.57,1.2,15,17,4.0,0.0,2.0,181.0,93.296,0.0,923.0,25.0,1.0
55087,Fall,False,17.7,9.0,14,19,0.0,0.0,2.0,138.0,92.512,21.94,1199.44,25.0,1.0
55087,Fall,True,6.55,0.93,9,10,0.0,0.0,2.0,15.0,84.28,8.13,1242.67,25.0,1.0
55087,Fall,True,6.72,10.95,9,13,0.0,0.0,2.0,239.0,82.712,25.4,1311.63,25.0,1.0
55087,Fall,True,18.75,1.97,24,26,-1.0,,2.0,216.0,37.632,7.04,1075.38,25.0,
55087,Fall,True,7.13,23.45,11,20,0.0,,2.0,234.0,28.224,22.4,1093.11,25.0,
55087,Fall,True,19.32,1.58,9,12,0.0,,2.0,155.0,25.088,8.5,1320.0,25.0,1.0
55087,Fall,False,18.65,4.68,18,23,0.0,0.0,2.0,336.0,17.248,10.83,1207.5,25.0,1.0
55087,Fall,False,19.22,38.6,19,26,0.0,0.0,2.0,0.0,15.288,4.56,890.46,25.0,1.0
55087,Fall,True,22.28,1.57,17,20,0.0,0.0,2.0,83.0,80.36,12.78,1557.75,25.0,1.0
55087,Fall,False,17.23,2.82,20,24,0.0,0.0,2.0,246.0,74.872,17.03,1284.67,25.0,1.0
55087,Fall,False,17.6,24.97,20,28,0.0,0.0,2.0,342.0,74.48,13.18,1171.69,25.0,1.0
55087,Fall,True,6.8,1.62,13,17,0.0,0.0,2.0,319.0,72.52,9.88,1281.75,25.0,1.0
55087,Fall,True,19.4,16.9,7,15,0.0,0.0,2.0,81.0,61.544,47.78,1506.0,25.0,1.0
55087,Fall,True,6.83,6.55,5,11,0.0,0.0,2.0,335.0,56.448,15.9,1168.0,25.0,1.0
